party_identifier,event_count,rera_complaint_count,mutation_rejection_count,cpgrams_escalation_count,cersai_flag_count,avg_days_between_events,multi_portal_escalation_score,events_last_30_days,events_last_60_days,state,district,predicted_dispute_type,label
PID-88972,3,1,1,0,0,40.5,0.4,1,1,Punjab,Amritsar,property_boundary,0
PID-27794,2,0,1,0,0,78.0,0.4,1,1,Madhya Pradesh,Bhopal,property_boundary,0
PID-43499,5,0,0,0,1,17.0,0.6,1,3,Gujarat,Surat,other_civil,1
PID-56861,6,1,1,1,0,13.2,0.8,1,2,Tamil Nadu,Madurai,rent_tenancy,1
PID-31685,1,0,0,0,0,999,0.2,1,1,West Bengal,Siliguri,property_boundary,0
PID-79878,1,1,0,0,0,999,0.2,1,1,Madhya Pradesh,Bhopal,rent_tenancy,0
PID-43187,2,0,2,0,0,78.0,0.4,1,1,Uttar Pradesh,Noida,property_boundary,0
PID-29967,4,0,0,2,0,22.0,0.4,1,2,Madhya Pradesh,Jabalpur,consumer,1
PID-46363,5,1,1,0,0,14.0,0.6,1,3,Maharashtra,Mumbai,property_ownership,1
PID-31218,3,0,1,0,1,80.0,0.4,1,1,West Bengal,Howrah,property_boundary,0
PID-77619,3,0,1,0,0,64.5,0.4,1,1,Madhya Pradesh,Ujjain,rent_tenancy,0
PID-50437,1,0,0,1,0,999,0.2,1,1,Karnataka,Hubli-Dharwad,other_civil,0
PID-94027,1,0,0,0,0,999,0.2,1,1,Tamil Nadu,Tiruchirappalli,employment,0
PID-25982,7,2,1,0,0,9.5,0.8,3,6,Rajasthan,Kota,rent_tenancy,1
PID-41323,3,0,2,0,0,22.5,0.6,1,2,Madhya Pradesh,Ujjain,rent_tenancy,1
PID-82108,3,3,0,0,0,58.0,0.2,1,2,Karnataka,Bengaluru Urban,property_ownership,0
PID-33478,1,0,0,0,0,999,0.2,1,1,Kerala,Thrissur,contract_breach,0
PID-34413,4,0,0,0,0,18.3,0.6,1,2,Rajasthan,Jaipur,property_boundary,1
PID-58086,3,0,1,0,0,40.5,0.4,1,2,Delhi,West Delhi,property_boundary,0
PID-43406,2,0,0,0,0,54.0,0.4,1,1,Madhya Pradesh,Gwalior,neighbourhood,0
PID-42362,3,0,0,0,0,45.5,0.4,1,2,Punjab,Ludhiana,neighbourhood,0
PID-68917,3,2,1,0,0,23.5,0.4,1,2,Uttar Pradesh,Varanasi,property_boundary,1
PID-63569,3,1,1,1,0,62.5,0.6,1,1,Telangana,Warangal,property_ownership,0
PID-50115,3,1,0,0,1,45.0,0.6,1,1,West Bengal,Durgapur,rent_tenancy,0
PID-61651,3,1,0,0,0,78.0,0.6,1,1,Delhi,North Delhi,rent_tenancy,0
PID-51072,4,0,2,0,1,5.7,0.6,4,4,Telangana,Hyderabad,rent_tenancy,1
PID-55523,3,2,1,0,0,11.0,0.4,1,3,Haryana,Gurugram,rent_tenancy,1
PID-36199,5,0,2,1,0,13.0,0.8,2,4,Kerala,Kochi,property_boundary,1
PID-48464,2,0,0,0,2,45.0,0.4,1,1,Gujarat,Rajkot,contract_breach,0
PID-89954,8,3,0,0,0,16.0,0.8,2,4,Punjab,Patiala,property_boundary,1
PID-75851,2,0,0,0,0,83.0,0.4,1,1,Maharashtra,Thane,money_loan,0
PID-18772,1,0,0,0,1,999,0.2,1,1,Andhra Pradesh,Tirupati,other_civil,0
PID-67616,3,0,0,0,0,57.5,0.6,1,1,Maharashtra,Pune,neighbourhood,0
PID-41127,1,1,0,0,0,999,0.2,1,1,West Bengal,Kolkata,property_ownership,0
PID-11600,1,0,0,0,0,999,0.2,1,1,Madhya Pradesh,Indore,contract_breach,0
PID-66436,2,0,0,1,1,39.0,0.4,1,2,Bihar,Patna,other_civil,0
PID-55398,6,4,1,0,1,15.0,0.4,1,3,Madhya Pradesh,Bhopal,rent_tenancy,1
PID-99104,1,0,1,0,0,999,0.2,1,1,Uttar Pradesh,Noida,property_boundary,0
PID-34217,3,0,0,1,0,17.5,0.4,1,3,Andhra Pradesh,Nellore,other_civil,1
PID-68926,5,0,0,1,0,15.8,0.4,1,3,Rajasthan,Udaipur,neighbourhood,1
PID-48129,1,0,0,0,0,999,0.2,1,1,West Bengal,Howrah,rent_tenancy,0
PID-82971,1,0,0,0,1,999,0.2,1,1,Rajasthan,Kota,rent_tenancy,0
PID-88455,3,0,0,0,1,56.5,0.6,1,1,Uttar Pradesh,Agra,property_ownership,0
PID-80481,6,2,1,0,0,12.4,0.8,1,5,Madhya Pradesh,Bhopal,property_ownership,1
PID-66166,3,0,1,0,1,57.0,0.6,1,1,Madhya Pradesh,Ujjain,rent_tenancy,0
PID-46537,1,0,0,1,0,999,0.2,1,1,Delhi,South Delhi,other_civil,0
PID-72874,2,2,0,0,0,51.0,0.2,1,1,Andhra Pradesh,Tirupati,property_ownership,0
PID-43746,1,0,0,0,0,999,0.2,1,1,Uttar Pradesh,Kanpur,neighbourhood,0
PID-59957,1,0,1,0,0,999,0.2,1,1,Telangana,Nizamabad,property_ownership,0
PID-67805,1,0,0,0,0,999,0.2,1,1,Delhi,South Delhi,neighbourhood,0
PID-45159,3,0,1,0,1,80.0,0.2,1,1,Kerala,Thrissur,property_ownership,0
PID-53082,4,0,0,0,2,11.7,0.6,3,4,Telangana,Karimnagar,money_loan,1
PID-85149,7,2,0,0,0,13.2,1.0,2,5,Haryana,Ambala,property_ownership,1
PID-67572,8,1,3,0,0,16.4,0.8,2,5,West Bengal,Kolkata,property_ownership,1
PID-48090,1,0,0,1,0,999,0.2,1,1,Haryana,Panipat,other_civil,0
PID-84927,2,0,0,0,0,81.0,0.2,1,1,Haryana,Karnal,consumer,0
PID-72586,5,1,0,1,2,20.0,0.8,2,3,Madhya Pradesh,Gwalior,property_boundary,1
PID-69921,8,1,0,2,2,14.4,0.8,1,2,Tamil Nadu,Chennai,property_boundary,1
PID-24973,3,0,0,0,0,16.5,0.4,1,3,Bihar,Bhagalpur,employment,1
PID-68630,5,1,0,1,0,12.2,0.8,2,4,Rajasthan,Ajmer,rent_tenancy,1
PID-26676,2,0,0,1,0,55.0,0.4,1,1,Rajasthan,Jaipur,other_civil,0
PID-22234,8,1,1,1,2,12.0,1.0,1,4,Haryana,Panipat,property_ownership,1
PID-56695,3,0,0,1,0,6.0,0.6,3,3,Punjab,Chandigarh,consumer,1
PID-11967,3,1,0,0,0,62.0,0.6,1,1,Kerala,Thiruvananthapuram,rent_tenancy,0
PID-21274,7,0,1,2,1,13.5,0.8,1,3,Punjab,Ludhiana,property_ownership,1
PID-88193,6,1,0,0,0,18.4,0.8,1,3,Karnataka,Bengaluru Urban,property_boundary,1
PID-60039,5,1,0,1,0,10.8,0.8,2,4,Delhi,South Delhi,rent_tenancy,1
PID-76485,3,0,1,0,0,66.0,0.4,1,1,Punjab,Amritsar,rent_tenancy,0
PID-40278,2,0,0,0,0,81.0,0.4,1,1,Rajasthan,Udaipur,family_inheritance,0
PID-41542,3,1,1,0,0,66.0,0.4,1,2,Tamil Nadu,Madurai,rent_tenancy,0
PID-80353,1,1,0,0,0,999,0.2,1,1,Haryana,Karnal,property_ownership,0
PID-97922,3,1,0,0,0,63.5,0.6,1,1,Andhra Pradesh,Nellore,property_ownership,0
PID-57933,2,0,0,1,1,90.0,0.4,1,1,Andhra Pradesh,Tirupati,other_civil,0
PID-66848,2,1,0,0,0,64.0,0.4,1,1,Haryana,Ambala,rent_tenancy,0
PID-96715,5,2,0,0,0,18.0,0.6,1,4,Bihar,Muzaffarpur,rent_tenancy,1
PID-33460,2,0,0,0,1,50.0,0.4,1,1,Punjab,Ludhiana,employment,0
PID-49064,5,0,0,0,0,8.2,0.8,2,5,Telangana,Hyderabad,property_boundary,1
PID-91349,1,0,0,0,0,999,0.2,1,1,Telangana,Warangal,property_boundary,0
PID-15744,3,1,1,0,0,68.0,0.6,1,1,Delhi,North Delhi,rent_tenancy,0
PID-62275,7,0,0,3,0,9.3,0.8,2,5,Bihar,Patna,neighbourhood,1
PID-89663,5,1,0,1,1,8.5,0.8,3,5,Bihar,Bhagalpur,rent_tenancy,1
PID-94520,4,1,0,0,0,16.3,0.4,1,3,Madhya Pradesh,Jabalpur,rent_tenancy,1
PID-45650,3,3,0,0,0,31.0,0.2,1,2,Maharashtra,Thane,property_boundary,0
PID-18881,3,2,0,1,0,70.5,0.4,1,1,Maharashtra,Nagpur,rent_tenancy,0
PID-65910,5,1,1,0,0,18.8,0.6,2,3,Rajasthan,Jodhpur,property_ownership,1
PID-20295,6,2,0,1,1,19.6,0.8,1,3,Madhya Pradesh,Ujjain,property_boundary,1
PID-37830,3,0,0,0,2,56.0,0.4,1,1,Telangana,Warangal,neighbourhood,0
PID-66622,6,1,2,0,0,13.8,0.8,3,5,West Bengal,Siliguri,property_ownership,1
PID-64398,1,0,0,0,0,999,0.2,1,1,Bihar,Muzaffarpur,employment,0
PID-53297,1,0,0,0,0,999,0.2,1,1,Bihar,Patna,money_loan,0
PID-69867,3,0,0,0,0,68.0,0.4,1,1,West Bengal,Asansol,rent_tenancy,0
PID-48024,1,0,0,0,0,999,0.2,1,1,Uttar Pradesh,Lucknow,consumer,0
PID-44875,2,0,0,0,0,32.0,0.4,1,2,Haryana,Ambala,money_loan,0
PID-66345,4,1,0,1,0,14.3,0.6,1,4,Kerala,Kannur,property_boundary,1
PID-99398,1,0,0,0,0,999,0.2,1,1,Andhra Pradesh,Visakhapatnam,property_ownership,0
PID-91013,3,1,0,0,1,62.5,0.6,1,1,Karnataka,Bengaluru Urban,property_ownership,0
PID-91270,8,0,2,2,2,14.6,0.6,1,2,Telangana,Khammam,rent_tenancy,1
PID-83671,2,0,0,0,0,38.0,0.4,1,2,Tamil Nadu,Chennai,contract_breach,0
PID-99415,3,0,0,1,0,76.5,0.4,1,1,Uttar Pradesh,Agra,other_civil,0
PID-36377,3,0,0,1,1,59.0,0.4,1,1,Uttar Pradesh,Agra,neighbourhood,0
PID-61791,1,0,0,0,0,999,0.2,1,1,Rajasthan,Jaipur,property_boundary,0
PID-64041,3,1,1,1,0,59.5,0.6,1,1,Rajasthan,Kota,property_boundary,0
PID-35554,3,1,1,0,0,56.5,0.6,1,2,Tamil Nadu,Coimbatore,rent_tenancy,0
PID-94852,4,4,0,0,0,19.0,0.2,1,2,Bihar,Gaya,property_ownership,1
PID-27730,8,2,2,1,1,18.4,0.8,2,3,Bihar,Gaya,rent_tenancy,1
PID-60301,1,0,0,1,0,999,0.2,1,1,Rajasthan,Ajmer,other_civil,0
PID-57287,3,0,0,0,0,66.5,0.4,1,1,Haryana,Karnal,other_civil,0
PID-30563,1,0,0,0,0,999,0.2,1,1,Karnataka,Mysuru,family_inheritance,0
PID-79729,3,1,0,0,1,55.0,0.6,1,1,Kerala,Thiruvananthapuram,property_ownership,0
PID-69575,3,2,0,0,0,68.5,0.4,1,1,Telangana,Nizamabad,property_boundary,0
PID-17874,2,0,1,0,0,38.0,0.4,1,2,Bihar,Gaya,property_boundary,0
PID-71580,6,2,0,1,0,14.2,0.8,2,3,West Bengal,Asansol,property_ownership,1
PID-41941,3,3,0,0,0,62.0,0.2,1,1,Madhya Pradesh,Jabalpur,rent_tenancy,0
PID-99129,7,1,0,1,0,13.0,0.8,1,4,Haryana,Gurugram,rent_tenancy,1
PID-86648,4,1,0,1,2,8.3,0.6,4,4,Telangana,Hyderabad,property_boundary,1
PID-46158,5,1,1,0,0,14.2,0.8,1,4,Maharashtra,Nagpur,rent_tenancy,1
PID-30565,3,0,0,2,0,60.5,0.6,1,1,Gujarat,Rajkot,neighbourhood,0
PID-48801,2,0,0,1,1,55.0,0.4,1,1,Kerala,Kannur,neighbourhood,0
PID-58760,6,1,2,0,0,14.0,1.0,1,3,Kerala,Kozhikode,property_ownership,1
PID-24136,6,1,0,1,0,17.2,0.6,1,3,Punjab,Patiala,property_boundary,1
PID-32649,2,0,0,0,0,35.0,0.2,1,2,Tamil Nadu,Coimbatore,family_inheritance,0
PID-10070,3,0,1,0,0,17.0,0.6,1,3,Tamil Nadu,Chennai,property_ownership,1
PID-17806,3,0,0,0,0,5.5,0.6,3,3,Tamil Nadu,Madurai,employment,1
PID-99971,3,0,0,0,0,78.5,0.4,1,1,Karnataka,Hubli-Dharwad,money_loan,0
PID-97194,1,0,0,0,0,999,0.2,1,1,Uttar Pradesh,Kanpur,rent_tenancy,0
PID-50173,6,2,0,0,0,14.4,0.8,1,4,Gujarat,Vadodara,rent_tenancy,1
PID-42181,2,0,0,1,0,73.0,0.4,1,1,Madhya Pradesh,Bhopal,consumer,0
PID-11554,5,2,0,0,0,13.5,0.4,1,3,Haryana,Ambala,property_boundary,1
PID-68824,1,0,0,0,0,999,0.2,1,1,Maharashtra,Nashik,consumer,0
PID-25008,1,0,0,0,0,999,0.2,1,1,Haryana,Karnal,neighbourhood,0
PID-42654,6,0,0,3,0,15.8,0.8,1,3,Karnataka,Bengaluru Urban,neighbourhood,1
PID-23744,6,2,0,0,0,20.8,0.8,2,3,Andhra Pradesh,Visakhapatnam,property_ownership,1
PID-40212,2,0,1,0,0,83.0,0.2,1,1,Tamil Nadu,Tiruchirappalli,property_ownership,0
PID-85982,2,0,0,0,0,71.0,0.4,1,1,Rajasthan,Kota,neighbourhood,0
PID-92781,2,0,0,0,0,79.0,0.2,1,1,Punjab,Patiala,contract_breach,0
PID-91176,6,2,1,1,0,13.0,0.8,3,5,Delhi,West Delhi,rent_tenancy,1
PID-39444,4,1,1,0,1,14.0,0.6,1,2,Andhra Pradesh,Guntur,property_ownership,1
PID-88270,1,0,0,0,0,999,0.2,1,1,Madhya Pradesh,Jabalpur,money_loan,0
PID-21743,3,0,0,0,0,13.5,0.6,2,3,Bihar,Darbhanga,employment,1
PID-64658,4,2,0,0,0,13.7,0.4,1,3,Haryana,Faridabad,property_boundary,1
PID-55268,6,2,0,0,2,10.8,0.8,1,3,Gujarat,Vadodara,property_boundary,1
PID-20740,3,0,0,0,1,11.5,0.4,2,3,Haryana,Ambala,neighbourhood,1
PID-45841,7,1,0,0,0,16.5,1.0,1,3,Andhra Pradesh,Nellore,property_boundary,1
PID-76136,3,0,0,1,0,68.0,0.6,1,1,Maharashtra,Thane,other_civil,0
PID-61427,1,0,0,0,0,999,0.2,1,1,Karnataka,Mangaluru,property_boundary,0
PID-69350,6,2,1,1,2,14.8,0.8,2,4,Maharashtra,Nashik,property_boundary,1
PID-63589,2,0,1,0,0,44.0,0.4,1,2,Gujarat,Vadodara,property_boundary,0
PID-20214,3,1,0,0,0,49.0,0.4,1,1,Gujarat,Vadodara,property_ownership,0
PID-52436,4,0,0,0,0,14.7,0.4,1,4,Andhra Pradesh,Vijayawada,contract_breach,1
PID-61100,2,0,0,0,1,75.0,0.4,1,1,Andhra Pradesh,Guntur,property_ownership,0
PID-59601,1,0,0,0,0,999,0.2,1,1,Maharashtra,Mumbai,employment,0
PID-39155,3,1,0,0,1,57.0,0.6,1,1,Tamil Nadu,Chennai,rent_tenancy,0
PID-61057,3,0,0,0,0,12.0,0.4,2,3,Maharashtra,Mumbai,employment,1
PID-74999,2,0,0,0,1,77.0,0.4,1,1,Uttar Pradesh,Varanasi,employment,0
PID-31432,5,0,1,0,1,8.0,0.6,4,5,Gujarat,Vadodara,property_ownership,1
PID-39046,2,0,0,0,1,85.0,0.4,1,1,Madhya Pradesh,Jabalpur,family_inheritance,0
PID-16525,6,0,1,0,1,9.0,0.8,2,6,Uttar Pradesh,Noida,rent_tenancy,1
PID-55698,3,1,0,1,0,75.5,0.6,1,1,Gujarat,Gandhinagar,rent_tenancy,0
PID-44592,1,1,0,0,0,999,0.2,1,1,Gujarat,Vadodara,property_boundary,0
PID-50523,5,0,1,1,0,18.2,0.8,1,2,Delhi,East Delhi,property_boundary,1
PID-91928,1,1,0,0,0,999,0.2,1,1,Kerala,Kannur,property_ownership,0
PID-64735,8,2,1,0,0,13.1,0.8,1,4,Bihar,Muzaffarpur,rent_tenancy,1
PID-96765,3,1,1,0,0,10.5,0.6,3,3,Telangana,Hyderabad,property_ownership,1
PID-30635,3,0,1,0,1,14.5,0.6,1,3,West Bengal,Asansol,rent_tenancy,1
PID-14546,3,0,2,1,0,54.0,0.4,1,1,Punjab,Patiala,property_ownership,0
PID-71744,2,0,1,0,0,43.0,0.4,1,2,West Bengal,Durgapur,property_ownership,0
PID-84820,2,0,0,0,0,54.0,0.2,1,2,Rajasthan,Udaipur,property_ownership,0
PID-49242,1,0,0,1,0,999,0.2,1,1,Haryana,Karnal,other_civil,0
PID-10183,3,0,1,1,0,15.5,0.6,2,3,Tamil Nadu,Chennai,property_ownership,1
PID-70438,2,1,0,0,0,76.0,0.4,1,1,Uttar Pradesh,Noida,property_ownership,0
PID-11100,3,0,0,1,2,51.5,0.6,1,2,Punjab,Amritsar,consumer,0
PID-72094,7,1,0,1,0,16.5,1.0,1,3,Madhya Pradesh,Jabalpur,property_ownership,1
PID-92581,1,0,1,0,0,999,0.2,1,1,Telangana,Karimnagar,property_ownership,0
PID-51599,3,0,1,0,0,24.0,0.4,1,3,West Bengal,Howrah,property_ownership,1
PID-18406,2,0,0,1,0,83.0,0.2,1,1,Telangana,Hyderabad,consumer,0
PID-80022,2,1,0,0,0,41.0,0.4,1,1,Haryana,Ambala,rent_tenancy,0
PID-22274,3,2,0,0,1,9.5,0.4,3,3,Haryana,Ambala,property_ownership,1
PID-91491,4,0,2,0,0,20.0,0.6,1,2,Andhra Pradesh,Vijayawada,property_ownership,1
PID-15164,7,1,1,0,3,11.8,0.8,1,4,Uttar Pradesh,Noida,property_ownership,1
PID-22910,2,0,0,0,0,58.0,0.4,1,1,Kerala,Thrissur,contract_breach,0
PID-31833,3,0,1,0,0,66.0,0.4,1,2,Telangana,Warangal,rent_tenancy,0
PID-61918,1,0,1,0,0,999,0.2,1,1,Haryana,Karnal,property_boundary,0
PID-23593,6,1,1,1,0,16.2,0.6,2,3,Karnataka,Mysuru,rent_tenancy,1
PID-65028,6,1,1,2,0,15.8,1.0,1,3,Delhi,East Delhi,property_ownership,1
PID-29399,3,0,2,0,0,61.0,0.4,1,1,Uttar Pradesh,Kanpur,rent_tenancy,0
PID-49669,3,0,1,1,1,17.0,0.2,1,3,Gujarat,Rajkot,rent_tenancy,1
PID-66497,2,0,0,1,0,36.0,0.4,1,2,Tamil Nadu,Tiruchirappalli,consumer,0
PID-33173,2,1,0,0,0,40.0,0.4,1,1,Rajasthan,Jaipur,rent_tenancy,0
PID-59241,2,0,0,0,0,46.0,0.4,1,2,Bihar,Darbhanga,neighbourhood,0
PID-74917,2,0,1,0,0,74.0,0.4,1,1,Karnataka,Mysuru,rent_tenancy,0
PID-34015,8,1,1,2,4,14.4,0.8,3,5,Madhya Pradesh,Ujjain,property_boundary,1
PID-46105,3,1,0,0,0,76.0,0.6,1,1,Tamil Nadu,Madurai,property_boundary,0
PID-73812,3,1,0,0,0,15.0,0.6,2,3,Maharashtra,Nashik,property_boundary,1
PID-80117,2,0,0,0,1,36.0,0.2,1,2,Delhi,North Delhi,other_civil,0
PID-44217,4,3,0,0,1,6.7,0.4,3,4,Gujarat,Vadodara,property_ownership,1
PID-89172,3,0,0,0,0,50.5,0.6,1,1,Kerala,Thiruvananthapuram,employment,0
PID-84858,1,0,1,0,0,999,0.2,1,1,Delhi,North Delhi,property_boundary,0
PID-82024,2,0,1,0,0,82.0,0.4,1,1,Rajasthan,Jaipur,rent_tenancy,0
PID-47343,3,3,0,0,0,51.5,0.2,1,2,Punjab,Amritsar,rent_tenancy,0
PID-73460,3,1,0,0,1,77.5,0.6,1,1,Delhi,North Delhi,property_boundary,0
PID-11052,6,1,1,1,2,16.6,1.0,1,3,Rajasthan,Ajmer,rent_tenancy,1
PID-73265,2,0,0,0,0,37.0,0.4,1,2,Maharashtra,Pune,other_civil,0
PID-24312,8,2,2,0,0,10.7,0.8,1,4,Bihar,Darbhanga,rent_tenancy,1
PID-75860,6,1,0,0,1,10.6,0.6,3,6,Tamil Nadu,Tiruchirappalli,property_boundary,1
PID-59960,3,2,1,0,0,65.0,0.4,1,1,Maharashtra,Nagpur,property_ownership,0
PID-66502,6,0,0,0,1,11.4,0.8,2,5,Uttar Pradesh,Noida,neighbourhood,1
PID-92616,6,1,0,1,0,14.4,0.8,1,3,Telangana,Warangal,property_boundary,1
PID-49008,5,1,1,0,1,15.0,0.8,3,4,Uttar Pradesh,Noida,property_ownership,1
PID-31592,3,2,0,1,0,55.5,0.4,1,2,Maharashtra,Thane,property_boundary,0
PID-59678,1,0,0,0,0,999,0.2,1,1,Uttar Pradesh,Noida,neighbourhood,0
PID-53636,7,2,0,1,0,15.7,1.0,1,2,Kerala,Thiruvananthapuram,property_ownership,1
PID-98614,3,1,0,0,0,61.5,0.6,1,1,Gujarat,Vadodara,rent_tenancy,0
PID-61221,3,2,0,0,0,80.0,0.4,1,1,Maharashtra,Mumbai,property_ownership,0
PID-49846,7,1,1,0,1,12.0,1.0,2,4,Maharashtra,Pune,property_boundary,1
PID-67123,8,2,0,0,1,13.0,1.0,2,5,Tamil Nadu,Tiruchirappalli,rent_tenancy,1
PID-67626,3,0,0,1,0,70.0,0.6,1,1,Haryana,Panipat,consumer,0
PID-49582,3,1,0,1,0,37.5,0.6,1,2,West Bengal,Asansol,property_boundary,0
PID-85930,3,1,0,0,0,76.5,0.4,1,1,Kerala,Thiruvananthapuram,property_boundary,0
PID-65531,3,2,0,1,0,68.5,0.4,1,1,Delhi,East Delhi,property_boundary,0
PID-63298,1,0,0,1,0,999,0.2,1,1,Maharashtra,Nagpur,consumer,0
PID-18197,2,0,0,1,0,66.0,0.2,1,1,Uttar Pradesh,Lucknow,consumer,0
PID-36759,1,0,0,0,0,999,0.2,1,1,Karnataka,Mysuru,family_inheritance,0
PID-49752,1,0,0,0,0,999,0.2,1,1,Karnataka,Mysuru,rent_tenancy,0
PID-62936,1,0,0,0,1,999,0.2,1,1,Bihar,Darbhanga,other_civil,0
PID-53048,2,0,1,0,0,31.0,0.4,1,2,Kerala,Kozhikode,rent_tenancy,0
PID-25050,7,1,0,2,2,13.2,0.8,4,6,Karnataka,Belagavi,rent_tenancy,1
PID-51405,6,0,1,0,0,17.6,0.6,2,3,Andhra Pradesh,Vijayawada,rent_tenancy,1
PID-78049,1,0,0,0,0,999,0.2,1,1,Bihar,Bhagalpur,property_ownership,0
PID-26716,2,0,0,0,0,37.0,0.4,1,2,Maharashtra,Thane,family_inheritance,0
PID-54074,2,0,0,1,0,84.0,0.4,1,1,Madhya Pradesh,Jabalpur,other_civil,0
PID-22709,2,1,0,0,0,83.0,0.4,1,1,Rajasthan,Jaipur,property_boundary,0
PID-27046,7,2,0,1,1,9.2,0.6,1,5,Madhya Pradesh,Jabalpur,property_boundary,1
PID-22883,7,0,1,2,1,14.0,0.6,2,4,Rajasthan,Kota,property_ownership,1
PID-85949,6,1,1,1,0,13.6,0.8,1,4,Andhra Pradesh,Tirupati,property_ownership,1
PID-49855,8,5,0,0,0,14.4,0.6,1,4,Madhya Pradesh,Ujjain,property_ownership,1
PID-88716,3,1,0,0,0,66.5,0.6,1,1,Kerala,Kochi,property_ownership,0
PID-24138,2,1,1,0,0,36.0,0.4,1,2,Telangana,Nizamabad,property_boundary,0
PID-64214,1,0,0,0,0,999,0.2,1,1,Maharashtra,Thane,rent_tenancy,0
PID-45627,1,0,1,0,0,999,0.2,1,1,Karnataka,Hubli-Dharwad,rent_tenancy,0
PID-14485,8,1,2,0,1,16.9,0.8,1,3,Bihar,Bhagalpur,property_ownership,1
PID-40274,2,1,0,1,0,68.0,0.4,1,1,West Bengal,Kolkata,property_boundary,0
PID-17139,1,0,0,0,0,999,0.2,1,1,West Bengal,Howrah,neighbourhood,0
PID-39347,5,1,0,0,0,18.0,0.8,1,3,Bihar,Gaya,rent_tenancy,1
PID-48986,1,0,0,0,0,999,0.2,1,1,Delhi,South Delhi,employment,0
PID-32048,1,0,0,0,1,999,0.2,1,1,West Bengal,Durgapur,contract_breach,0
PID-49923,2,0,0,0,0,51.0,0.4,1,2,Gujarat,Ahmedabad,consumer,0
PID-99714,8,0,0,3,2,16.9,0.6,3,4,Uttar Pradesh,Lucknow,other_civil,1
PID-29709,5,1,1,0,0,19.8,0.6,1,2,Haryana,Karnal,rent_tenancy,1
PID-94793,3,2,0,1,0,9.0,0.4,2,3,Rajasthan,Kota,property_boundary,1
PID-13793,2,1,0,0,0,63.0,0.4,1,1,Rajasthan,Ajmer,rent_tenancy,0
PID-80232,4,2,1,0,0,15.7,0.6,1,4,Kerala,Thiruvananthapuram,property_ownership,1
PID-27671,3,0,1,0,0,12.0,0.6,1,3,Gujarat,Surat,property_boundary,1
PID-40412,1,1,0,0,0,999,0.2,1,1,Rajasthan,Jaipur,property_boundary,0
PID-95053,1,0,0,0,0,999,0.2,1,1,Delhi,West Delhi,rent_tenancy,0
PID-57737,4,2,0,1,1,8.0,0.6,1,4,Andhra Pradesh,Visakhapatnam,property_ownership,1
PID-25267,3,1,0,0,0,17.5,0.6,1,3,Karnataka,Bengaluru Urban,rent_tenancy,1
PID-11895,1,0,0,1,0,999,0.2,1,1,Maharashtra,Mumbai,other_civil,0
PID-96578,3,1,0,0,2,65.5,0.4,1,1,Tamil Nadu,Salem,rent_tenancy,0
PID-46769,7,0,0,1,1,15.2,0.8,1,4,Andhra Pradesh,Tirupati,neighbourhood,1
PID-49871,3,0,0,0,1,73.5,0.6,1,1,Rajasthan,Ajmer,employment,0
PID-38001,4,3,1,0,0,12.0,0.4,3,4,Uttar Pradesh,Lucknow,property_ownership,1
PID-50156,3,0,0,0,1,77.0,0.6,1,1,Gujarat,Surat,property_ownership,0
PID-75570,7,2,1,0,0,16.7,0.8,2,4,Madhya Pradesh,Indore,rent_tenancy,1
PID-98508,1,0,0,0,0,999,0.2,1,1,Bihar,Gaya,other_civil,0
PID-85683,2,1,0,0,0,49.0,0.4,1,1,Andhra Pradesh,Tirupati,property_ownership,0
PID-96846,6,2,1,0,0,16.6,0.8,1,3,Kerala,Kozhikode,property_ownership,1
PID-88500,2,0,1,1,0,82.0,0.4,1,1,Uttar Pradesh,Lucknow,property_ownership,0
PID-46496,6,2,1,0,0,12.4,0.8,2,5,Haryana,Faridabad,property_boundary,1
PID-11364,2,1,0,0,0,33.0,0.4,1,2,Andhra Pradesh,Tirupati,rent_tenancy,0
PID-56593,8,2,1,0,2,13.1,1.0,1,2,Delhi,East Delhi,rent_tenancy,1
PID-73488,3,2,0,0,0,65.5,0.4,1,1,Uttar Pradesh,Agra,property_ownership,0
PID-83408,6,1,0,0,1,12.6,0.6,2,4,West Bengal,Kolkata,rent_tenancy,1
PID-50272,5,1,0,0,2,13.2,0.6,2,4,Kerala,Thrissur,property_ownership,1
PID-91453,1,0,0,0,0,999,0.2,1,1,Kerala,Kochi,money_loan,0
PID-63213,3,0,0,0,1,63.5,0.4,1,1,Maharashtra,Thane,property_boundary,0
PID-53684,6,0,2,0,2,12.6,0.2,2,4,Haryana,Gurugram,property_ownership,1
PID-11883,2,0,0,0,0,63.0,0.4,1,1,Uttar Pradesh,Kanpur,property_boundary,0
PID-20701,3,0,0,0,1,70.5,0.6,1,1,Maharashtra,Nashik,rent_tenancy,0
PID-39997,2,0,0,0,1,68.0,0.4,1,1,Punjab,Amritsar,consumer,0
PID-90940,3,0,0,0,0,44.5,0.4,1,2,Kerala,Thrissur,rent_tenancy,0
PID-52281,6,1,0,1,0,11.0,0.8,1,4,Maharashtra,Mumbai,property_boundary,1
PID-46675,4,0,0,0,2,17.0,0.6,2,4,Karnataka,Hubli-Dharwad,other_civil,1
PID-35167,1,1,0,0,0,999,0.2,1,1,Karnataka,Mysuru,property_ownership,0
PID-15492,2,0,0,0,0,80.0,0.4,1,1,Andhra Pradesh,Vijayawada,employment,0
